account_id,district_id,frequency,Account_type,new_date ,Card assign 
1156,59,Monthly issuance,Salary account,2021-12-09,Silver
3836,68,Monthly issuance,Salary account,2021-12-09,Silver
3013,73,Monthly issuance,NRI account,2021-12-09,Silver
673,31,Monthly issuance,Savings account,2021-12-08,Silver
3406,53,Monthly issuance,Salary account,2021-12-08,Silver
2796,5,weekly issuance,Salary account,2021-12-08,Diamond
2775,30,Monthly issuance,Savings account,2021-12-08,Silver
276,38,Monthly issuance,Savings account,2021-12-08,Silver
315,45,Monthly issuance,NRI account,2021-12-08,Silver
3722,76,Monthly issuance,Salary account,2021-12-07,Silver
736,75,Monthly issuance,Salary account,2021-12-07,Silver
2787,1,Monthly issuance,NRI account,2021-12-07,Silver
21,54,Monthly issuance,Salary account,2021-12-06,Silver
1650,39,Monthly issuance,Savings account,2021-12-06,Silver
800,11,Monthly issuance,Savings account,2021-12-06,Silver
3415,75,Monthly issuance,NRI account,2021-12-06,Silver
2918,15,issuance after a transaction,NRI account,2021-12-05,Gold
4140,28,Monthly issuance,NRI account,2021-12-05,Silver
1960,31,Monthly issuance,NRI account,2021-12-04,Silver
1049,18,Monthly issuance,NRI account,2021-12-04,Silver
298,35,Monthly issuance,Savings account,2021-12-02,Silver
1717,67,Monthly issuance,NRI account,2021-12-02,Silver
10005,64,Monthly issuance,Salary account,2021-11-29,Silver
4386,51,weekly issuance,Salary account,2021-11-29,Diamond
1868,16,weekly issuance,Savings account,2021-11-29,Diamond
232,45,Monthly issuance,Savings account,2021-11-29,Silver
1798,46,Monthly issuance,Savings account,2021-11-28,Silver
421,75,Monthly issuance,NRI account,2021-11-27,Silver
3715,74,Monthly issuance,Savings account,2021-11-27,Silver
934,9,Monthly issuance,Savings account,2021-11-27,Silver
3333,44,Monthly issuance,Salary account,2021-11-27,Silver
215,31,Monthly issuance,Salary account,2021-11-25,Silver
1523,52,issuance after a transaction,NRI account,2021-11-24,Gold
3102,33,Monthly issuance,Savings account,2021-11-23,Silver
295,66,Monthly issuance,NRI account,2021-11-23,Silver
2979,10,Monthly issuance,Savings account,2021-11-22,Silver
2850,57,Monthly issuance,Savings account,2021-11-22,Silver
2832,12,Monthly issuance,Salary account,2021-11-22,Silver
3105,37,Monthly issuance,Savings account,2021-11-21,Silver
2162,50,Monthly issuance,NRI account,2021-11-21,Silver
1125,1,weekly issuance,Savings account,2021-11-21,Diamond
3382,23,weekly issuance,Savings account,2021-11-20,Diamond
2125,43,weekly issuance,NRI account,2021-11-20,Diamond
3396,1,Monthly issuance,Salary account,2021-11-20,Silver
3365,11,Monthly issuance,Savings account,2021-11-18,Silver
2693,17,Monthly issuance,NRI account,2021-11-17,Silver
1866,4,Monthly issuance,Savings account,2021-11-17,Silver
149,43,Monthly issuance,NRI account,2021-11-16,Silver
3082,33,Monthly issuance,NRI account,2021-11-16,Silver
3156,1,issuance after a transaction,Salary account,2021-11-16,Gold
2438,71,Monthly issuance,Salary account,2021-11-16,Silver
1833,54,Monthly issuance,Salary account,2021-11-15,Silver
2221,58,Monthly issuance,NRI account,2021-11-15,Silver
2658,27,Monthly issuance,Salary account,2021-11-14,Silver
2721,74,Monthly issuance,NRI account,2021-11-14,Silver
2920,73,Monthly issuance,Savings account,2021-11-13,Silver
566,8,Monthly issuance,Savings account,2021-11-13,Silver
1245,68,Monthly issuance,NRI account,2021-11-12,Silver
1348,55,Monthly issuance,Savings account,2021-11-12,Silver
3423,11,Monthly issuance,Salary account,2021-11-10,Silver
2831,1,Monthly issuance,Savings account,2021-11-10,Silver
2211,61,issuance after a transaction,Salary account,2021-11-10,Gold
3360,71,Monthly issuance,Salary account,2021-11-10,Silver
952,41,Monthly issuance,Savings account,2021-11-09,Silver
696,54,Monthly issuance,NRI account,2021-11-09,Silver
2998,21,Monthly issuance,Salary account,2021-11-09,Silver
867,60,Monthly issuance,NRI account,2021-11-09,Silver
1208,4,Monthly issuance,Savings account,2021-11-09,Silver
2391,2,Monthly issuance,NRI account,2021-11-07,Silver
1140,49,Monthly issuance,Salary account,2021-11-07,Silver
644,4,Monthly issuance,NRI account,2021-11-06,Silver
2402,18,Monthly issuance,NRI account,2021-11-06,Silver
3395,16,Monthly issuance,NRI account,2021-11-05,Silver
2296,29,Monthly issuance,Savings account,2021-11-05,Silver
10613,55,Monthly issuance,Salary account,2021-11-04,Silver
606,75,Monthly issuance,NRI account,2021-11-04,Silver
9227,51,Monthly issuance,NRI account,2021-11-04,Silver
1723,70,Monthly issuance,Salary account,2021-11-04,Silver
3404,33,Monthly issuance,Savings account,2021-11-04,Silver
1657,12,Monthly issuance,Salary account,2021-11-04,Silver
639,1,Monthly issuance,NRI account,2021-11-03,Silver
3325,11,Monthly issuance,NRI account,2021-11-03,Silver
1703,72,Monthly issuance,Savings account,2021-11-02,Silver
3598,76,Monthly issuance,Savings account,2021-11-02,Silver
782,42,Monthly issuance,Salary account,2021-10-30,Silver
2784,40,Monthly issuance,NRI account,2021-10-30,Silver
671,60,Monthly issuance,Salary account,2021-10-29,Silver
643,64,Monthly issuance,Savings account,2021-10-28,Silver
1340,52,Monthly issuance,NRI account,2021-10-28,Silver
2703,61,Monthly issuance,Savings account,2021-10-28,Silver
2413,33,Monthly issuance,Savings account,2021-10-27,Silver
3963,9,Monthly issuance,Salary account,2021-10-27,Silver
876,4,Monthly issuance,Salary account,2021-10-26,Silver
1172,6,Monthly issuance,Savings account,2021-10-25,Silver
398,69,Monthly issuance,NRI account,2021-10-24,Silver
2174,18,Monthly issuance,Savings account,2021-10-24,Silver
3705,20,Monthly issuance,Salary account,2021-10-24,Silver
1209,23,Monthly issuance,NRI account,2021-10-23,Silver
2371,15,weekly issuance,Salary account,2021-10-23,Diamond
852,57,Monthly issuance,Savings account,2021-10-23,Silver
2152,22,Monthly issuance,Savings account,2021-10-23,Silver
3857,54,Monthly issuance,Salary account,2021-10-22,Silver
156,64,Monthly issuance,Savings account,2021-10-22,Silver
3922,68,Monthly issuance,NRI account,2021-10-22,Silver
2910,68,Monthly issuance,NRI account,2021-10-21,Silver
2756,24,Monthly issuance,Savings account,2021-10-21,Silver
1572,72,Monthly issuance,NRI account,2021-10-21,Silver
1615,1,Monthly issuance,Salary account,2021-10-20,Silver
2311,28,Monthly issuance,NRI account,2021-10-19,Silver
2556,46,Monthly issuance,Savings account,2021-10-19,Silver
961,1,Monthly issuance,Savings account,2021-10-18,Silver
2579,24,Monthly issuance,Savings account,2021-10-18,Silver
3919,34,Monthly issuance,NRI account,2021-10-18,Silver
3875,44,Monthly issuance,NRI account,2021-10-18,Silver
550,24,Monthly issuance,Savings account,2021-10-17,Silver
3324,3,Monthly issuance,Salary account,2021-10-17,Silver
1061,44,Monthly issuance,Salary account,2021-10-17,Silver
2215,48,Monthly issuance,Salary account,2021-10-17,Silver
2053,5,Monthly issuance,NRI account,2021-10-16,Silver
3561,33,Monthly issuance,Salary account,2021-10-15,Silver
1807,21,Monthly issuance,NRI account,2021-10-15,Silver
11327,7,Monthly issuance,NRI account,2021-10-15,Silver
2231,2,Monthly issuance,Salary account,2021-10-14,Silver
966,15,Monthly issuance,Salary account,2021-10-14,Silver
1968,16,weekly issuance,NRI account,2021-10-14,Diamond
2879,15,Monthly issuance,NRI account,2021-10-14,Silver
3023,35,Monthly issuance,Savings account,2021-10-14,Silver
1279,28,Monthly issuance,NRI account,2021-10-13,Silver
502,1,Monthly issuance,Salary account,2021-10-13,Silver
1506,51,Monthly issuance,Savings account,2021-10-13,Silver
5708,64,weekly issuance,NRI account,2021-10-12,Diamond
7049,69,Monthly issuance,NRI account,2021-10-12,Silver
121,55,Monthly issuance,NRI account,2021-10-11,Silver
1727,9,Monthly issuance,Savings account,2021-10-11,Silver
2097,46,Monthly issuance,Savings account,2021-10-11,Silver
133,64,weekly issuance,Savings account,2021-10-11,Diamond
2897,51,Monthly issuance,Savings account,2021-10-11,Silver
745,43,Monthly issuance,Salary account,2021-10-09,Silver
3813,1,Monthly issuance,NRI account,2021-10-09,Silver
1342,9,Monthly issuance,Savings account,2021-10-09,Silver
2069,72,Monthly issuance,Savings account,2021-10-08,Silver
205,1,Monthly issuance,Savings account,2021-10-08,Silver
1150,29,Monthly issuance,Salary account,2021-10-08,Silver
1608,26,Monthly issuance,Salary account,2021-10-08,Silver
1494,1,Monthly issuance,NRI account,2021-10-08,Silver
2272,48,Monthly issuance,Savings account,2021-10-08,Silver
2634,45,Monthly issuance,Savings account,2021-10-08,Silver
4143,55,Monthly issuance,Salary account,2021-10-07,Silver
2133,11,Monthly issuance,Salary account,2021-10-07,Silver
3342,59,Monthly issuance,NRI account,2021-10-06,Silver
2715,42,Monthly issuance,Salary account,2021-10-06,Silver
1596,70,Monthly issuance,NRI account,2021-10-05,Silver
4116,6,Monthly issuance,NRI account,2021-10-05,Silver
3401,38,weekly issuance,Salary account,2021-10-04,Diamond
2036,70,Monthly issuance,NRI account,2021-10-03,Silver
6866,14,Monthly issuance,Savings account,2021-10-02,Silver
4132,36,Monthly issuance,Savings account,2021-10-02,Silver
2136,75,Monthly issuance,Savings account,2021-10-02,Silver
2370,51,Monthly issuance,Savings account,2021-10-01,Silver
1379,47,Monthly issuance,NRI account,2021-10-01,Silver
1313,45,Monthly issuance,NRI account,2021-10-01,Silver
129,74,Monthly issuance,Savings account,2021-10-01,Silver
2007,45,Monthly issuance,Savings account,2021-09-29,Silver
1064,70,Monthly issuance,NRI account,2021-09-29,Silver
7274,11,Monthly issuance,NRI account,2021-09-28,Silver
3383,29,Monthly issuance,NRI account,2021-09-28,Silver
2461,1,Monthly issuance,Salary account,2021-09-28,Silver
3916,8,Monthly issuance,NRI account,2021-09-28,Silver
2745,60,Monthly issuance,NRI account,2021-09-28,Silver
10152,34,Monthly issuance,NRI account,2021-09-28,Silver
2846,1,Monthly issuance,NRI account,2021-09-27,Silver
1443,54,Monthly issuance,NRI account,2021-09-27,Silver
1992,48,Monthly issuance,NRI account,2021-09-27,Silver
755,38,Monthly issuance,NRI account,2021-09-27,Silver
3106,12,weekly issuance,Salary account,2021-09-26,Diamond
2312,65,Monthly issuance,NRI account,2021-09-26,Silver
177,1,Monthly issuance,NRI account,2021-09-26,Silver
4128,64,Monthly issuance,Savings account,2021-09-26,Silver
89,68,Monthly issuance,NRI account,2021-09-25,Silver
4616,1,Monthly issuance,Salary account,2021-09-24,Silver
3757,64,Monthly issuance,Savings account,2021-09-24,Silver
2942,44,Monthly issuance,NRI account,2021-09-24,Silver
1814,17,Monthly issuance,NRI account,2021-09-23,Silver
1718,71,Monthly issuance,Salary account,2021-09-23,Silver
16,12,Monthly issuance,Savings account,2021-09-23,Silver
1101,4,Monthly issuance,Salary account,2021-09-22,Silver
179,1,weekly issuance,Savings account,2021-09-22,Diamond
3610,1,Monthly issuance,NRI account,2021-09-22,Silver
3463,38,Monthly issuance,Salary account,2021-09-21,Silver
3103,1,issuance after a transaction,NRI account,2021-09-21,Gold
1876,1,Monthly issuance,Savings account,2021-09-20,Silver
2765,69,Monthly issuance,NRI account,2021-09-20,Silver
387,72,Monthly issuance,Salary account,2021-09-19,Silver
3300,71,Monthly issuance,NRI account,2021-09-19,Silver
3657,62,Monthly issuance,NRI account,2021-09-19,Silver
823,71,Monthly issuance,Savings account,2021-09-19,Silver
5283,15,Monthly issuance,Savings account,2021-09-18,Silver
1438,23,weekly issuance,Salary account,2021-09-18,Diamond
328,1,Monthly issuance,NRI account,2021-09-18,Silver
118,68,Monthly issuance,NRI account,2021-09-18,Silver
3603,3,Monthly issuance,Savings account,2021-09-17,Silver
1872,61,Monthly issuance,NRI account,2021-09-17,Silver
3671,21,Monthly issuance,NRI account,2021-09-17,Silver
735,70,Monthly issuance,NRI account,2021-09-17,Silver
3274,76,Monthly issuance,NRI account,2021-09-17,Silver
5870,75,Monthly issuance,Salary account,2021-09-17,Silver
1946,46,Monthly issuance,Savings account,2021-09-16,Silver
402,68,Monthly issuance,Salary account,2021-09-14,Silver
9156,18,Monthly issuance,Savings account,2021-09-14,Silver
3987,25,Monthly issuance,Salary account,2021-09-14,Silver
3852,20,Monthly issuance,NRI account,2021-09-14,Silver
384,24,weekly issuance,NRI account,2021-09-14,Diamond
677,70,Monthly issuance,NRI account,2021-09-13,Silver
6505,7,Monthly issuance,Savings account,2021-09-13,Silver
1240,1,Monthly issuance,NRI account,2021-09-11,Silver
1783,70,Monthly issuance,Salary account,2021-09-11,Silver
7156,71,Monthly issuance,NRI account,2021-09-11,Silver
1085,42,Monthly issuance,NRI account,2021-09-11,Silver
2684,7,Monthly issuance,Salary account,2021-09-10,Silver
2459,55,Monthly issuance,Savings account,2021-09-10,Silver
2997,40,Monthly issuance,Salary account,2021-09-09,Silver
10650,76,Monthly issuance,NRI account,2021-09-09,Silver
1303,23,Monthly issuance,Salary account,2021-09-08,Silver
783,1,Monthly issuance,NRI account,2021-09-08,Silver
1729,53,Monthly issuance,NRI account,2021-09-08,Silver
1790,70,Monthly issuance,NRI account,2021-09-08,Silver
2351,74,Monthly issuance,Savings account,2021-09-08,Silver
2480,35,Monthly issuance,NRI account,2021-09-07,Silver
2444,76,Monthly issuance,Savings account,2021-09-07,Silver
3516,36,weekly issuance,Savings account,2021-09-07,Diamond
178,59,Monthly issuance,Salary account,2021-09-06,Silver
2079,55,Monthly issuance,NRI account,2021-09-06,Silver
3444,53,weekly issuance,Salary account,2021-09-04,Diamond
1764,68,Monthly issuance,Savings account,2021-09-04,Silver
4158,27,Monthly issuance,Salary account,2021-09-04,Silver
585,4,Monthly issuance,NRI account,2021-09-04,Silver
5698,1,Monthly issuance,NRI account,2021-09-04,Silver
10243,44,Monthly issuance,NRI account,2021-09-03,Silver
1026,20,Monthly issuance,Salary account,2021-09-03,Silver
45,64,Monthly issuance,Salary account,2021-09-02,Silver
2172,1,Monthly issuance,Salary account,2021-09-02,Silver
909,30,Monthly issuance,NRI account,2021-09-02,Silver
3950,48,Monthly issuance,Salary account,2021-09-01,Silver
2142,42,Monthly issuance,Salary account,2021-09-01,Silver
2492,73,Monthly issuance,Savings account,2021-09-01,Silver
3901,12,Monthly issuance,NRI account,2021-08-30,Silver
2422,27,Monthly issuance,Savings account,2021-08-29,Silver
3556,58,Monthly issuance,Salary account,2021-08-29,Silver
1154,5,weekly issuance,Savings account,2021-08-29,Diamond
2317,68,Monthly issuance,Savings account,2021-08-28,Silver
3828,44,Monthly issuance,Salary account,2021-08-28,Silver
3798,15,Monthly issuance,Salary account,2021-08-27,Silver
859,13,Monthly issuance,NRI account,2021-08-26,Silver
2394,62,Monthly issuance,Savings account,2021-08-23,Silver
8639,46,Monthly issuance,Salary account,2021-08-22,Silver
4003,25,Monthly issuance,Salary account,2021-08-22,Silver
3537,45,Monthly issuance,Salary account,2021-08-22,Silver
3070,56,Monthly issuance,Salary account,2021-08-21,Silver
645,70,Monthly issuance,Savings account,2021-08-21,Silver
1795,53,Monthly issuance,Savings account,2021-08-21,Silver
2442,14,Monthly issuance,NRI account,2021-08-21,Silver
2845,62,Monthly issuance,Salary account,2021-08-21,Silver
1845,47,Monthly issuance,NRI account,2021-08-20,Silver
1181,69,Monthly issuance,NRI account,2021-08-20,Silver
2607,1,Monthly issuance,NRI account,2021-08-19,Silver
653,27,Monthly issuance,NRI account,2021-08-19,Silver
10799,76,Monthly issuance,Salary account,2021-08-19,Silver
1567,10,Monthly issuance,NRI account,2021-08-19,Silver
996,47,Monthly issuance,NRI account,2021-08-18,Silver
37,20,Monthly issuance,Salary account,2021-08-18,Silver
2829,66,Monthly issuance,Salary account,2021-08-18,Silver
529,39,Monthly issuance,Savings account,2021-08-18,Silver
1857,37,Monthly issuance,Savings account,2021-08-18,Silver
9140,32,Monthly issuance,Salary account,2021-08-18,Silver
2485,41,Monthly issuance,Salary account,2021-08-18,Silver
1881,60,Monthly issuance,Savings account,2021-08-17,Silver
2595,1,Monthly issuance,NRI account,2021-08-17,Silver
13,76,Monthly issuance,Salary account,2021-08-17,Silver
1355,1,Monthly issuance,Savings account,2021-08-16,Silver
3062,17,Monthly issuance,Savings account,2021-08-15,Silver
9433,59,Monthly issuance,Salary account,2021-08-14,Silver
509,36,Monthly issuance,NRI account,2021-08-14,Silver
1747,30,Monthly issuance,Salary account,2021-08-14,Silver
2073,59,Monthly issuance,Savings account,2021-08-14,Silver
3097,66,Monthly issuance,Savings account,2021-08-14,Silver
792,3,Monthly issuance,Savings account,2021-08-13,Silver
1043,1,Monthly issuance,NRI account,2021-08-13,Silver
591,1,Monthly issuance,Savings account,2021-08-12,Silver
5572,15,Monthly issuance,Salary account,2021-08-11,Silver
3046,74,Monthly issuance,Savings account,2021-08-11,Silver
2138,75,Monthly issuance,Salary account,2021-08-11,Silver
1662,1,Monthly issuance,Salary account,2021-08-11,Silver
386,1,Monthly issuance,Savings account,2021-08-11,Silver
2776,23,Monthly issuance,Savings account,2021-08-10,Silver
785,21,weekly issuance,Savings account,2021-08-09,Diamond
2338,59,Monthly issuance,Savings account,2021-08-08,Silver
1319,56,issuance after a transaction,Salary account,2021-08-08,Gold
311,50,Monthly issuance,NRI account,2021-08-08,Silver
3293,1,Monthly issuance,Salary account,2021-08-08,Silver
1648,40,Monthly issuance,Salary account,2021-08-08,Silver
38,19,weekly issuance,Salary account,2021-08-08,Diamond
1434,70,Monthly issuance,Savings account,2021-08-08,Silver
7437,19,weekly issuance,Salary account,2021-08-08,Diamond
4784,46,Monthly issuance,NRI account,2021-08-08,Silver
2644,1,Monthly issuance,NRI account,2021-08-08,Silver
307,26,Monthly issuance,Savings account,2021-08-07,Silver
1951,23,Monthly issuance,NRI account,2021-08-07,Silver
4445,47,Monthly issuance,Savings account,2021-08-07,Silver
2000,5,Monthly issuance,Salary account,2021-08-06,Silver
3724,16,Monthly issuance,Savings account,2021-08-06,Silver
3281,1,Monthly issuance,Savings account,2021-08-06,Silver
326,61,Monthly issuance,NRI account,2021-08-06,Silver
1389,34,Monthly issuance,Salary account,2021-08-05,Silver
1033,32,Monthly issuance,Savings account,2021-08-05,Silver
2449,23,Monthly issuance,Salary account,2021-08-05,Silver
2927,37,Monthly issuance,NRI account,2021-08-04,Silver
4091,9,Monthly issuance,NRI account,2021-08-04,Silver
6602,74,Monthly issuance,Salary account,2021-08-04,Silver
2558,46,Monthly issuance,Savings account,2021-08-04,Silver
3208,29,Monthly issuance,NRI account,2021-08-04,Silver
4533,68,Monthly issuance,NRI account,2021-08-03,Silver
3343,1,Monthly issuance,NRI account,2021-08-03,Silver
3686,77,Monthly issuance,Salary account,2021-08-03,Silver
3381,68,Monthly issuance,NRI account,2021-08-02,Silver
1522,48,Monthly issuance,Salary account,2021-08-02,Silver
41,72,Monthly issuance,Salary account,2021-08-02,Silver
1950,70,Monthly issuance,Salary account,2021-08-01,Silver
811,14,weekly issuance,NRI account,2021-08-01,Diamond
3185,45,Monthly issuance,NRI account,2021-07-29,Silver
5758,44,Monthly issuance,NRI account,2021-07-28,Silver
1776,36,Monthly issuance,Savings account,2021-07-27,Silver
547,24,Monthly issuance,Savings account,2021-07-27,Silver
2197,46,Monthly issuance,Salary account,2021-07-26,Silver
2587,1,Monthly issuance,Salary account,2021-07-25,Silver
3346,1,Monthly issuance,Salary account,2021-07-25,Silver
1454,46,Monthly issuance,NRI account,2021-07-25,Silver
2196,11,Monthly issuance,Savings account,2021-07-24,Silver
2646,6,Monthly issuance,Salary account,2021-07-24,Silver
2722,69,Monthly issuance,Salary account,2021-07-24,Silver
2679,67,Monthly issuance,Salary account,2021-07-24,Silver
1794,74,Monthly issuance,Salary account,2021-07-23,Silver
801,16,Monthly issuance,NRI account,2021-07-23,Silver
3057,9,Monthly issuance,Salary account,2021-07-23,Silver
5290,34,Monthly issuance,Salary account,2021-07-21,Silver
2316,1,Monthly issuance,Savings account,2021-07-21,Silver
611,46,Monthly issuance,Salary account,2021-07-21,Silver
1890,1,weekly issuance,NRI account,2021-07-20,Diamond
2204,9,Monthly issuance,NRI account,2021-07-20,Silver
970,18,Monthly issuance,Savings account,2021-07-20,Silver
211,28,Monthly issuance,Savings account,2021-07-19,Silver
1432,27,Monthly issuance,NRI account,2021-07-19,Silver
2369,49,Monthly issuance,Salary account,2021-07-19,Silver
3867,1,Monthly issuance,Savings account,2021-07-19,Silver
680,17,Monthly issuance,Savings account,2021-07-18,Silver
284,54,Monthly issuance,Savings account,2021-07-18,Silver
1027,68,Monthly issuance,Salary account,2021-07-18,Silver
1995,54,Monthly issuance,Savings account,2021-07-18,Silver
2183,54,Monthly issuance,Salary account,2021-07-17,Silver
7052,55,issuance after a transaction,Salary account,2021-07-17,Gold
483,70,Monthly issuance,Salary account,2021-07-15,Silver
2678,1,Monthly issuance,Salary account,2021-07-15,Silver
705,35,Monthly issuance,Salary account,2021-07-14,Silver
2447,38,Monthly issuance,Salary account,2021-07-14,Silver
2452,1,Monthly issuance,Savings account,2021-07-14,Silver
469,72,Monthly issuance,Salary account,2021-07-14,Silver
9560,1,Monthly issuance,NRI account,2021-07-13,Silver
3985,1,Monthly issuance,Salary account,2021-07-13,Silver
3833,77,Monthly issuance,NRI account,2021-07-13,Silver
3428,27,Monthly issuance,Savings account,2021-07-12,Silver
679,22,Monthly issuance,Savings account,2021-07-12,Silver
10644,16,Monthly issuance,NRI account,2021-07-12,Silver
2182,22,Monthly issuance,Salary account,2021-07-12,Silver
2992,43,Monthly issuance,NRI account,2021-07-11,Silver
11317,50,Monthly issuance,Savings account,2021-07-11,Silver
1681,68,Monthly issuance,NRI account,2021-07-11,Silver
1110,54,Monthly issuance,Salary account,2021-07-10,Silver
105,21,Monthly issuance,Savings account,2021-07-10,Silver
1647,1,Monthly issuance,Savings account,2021-07-09,Silver
2169,57,Monthly issuance,Salary account,2021-07-09,Silver
258,64,Monthly issuance,Savings account,2021-07-09,Silver
3906,52,Monthly issuance,NRI account,2021-07-08,Silver
3529,12,Monthly issuance,Salary account,2021-07-08,Silver
864,72,Monthly issuance,NRI account,2021-07-08,Silver
4336,2,Monthly issuance,Salary account,2021-07-08,Silver
3433,73,Monthly issuance,NRI account,2021-07-07,Silver
2337,65,Monthly issuance,NRI account,2021-07-07,Silver
3,5,Monthly issuance,NRI account,2021-07-07,Silver
2093,64,Monthly issuance,Savings account,2021-07-07,Silver
2728,52,weekly issuance,Salary account,2021-07-06,Diamond
1339,76,Monthly issuance,Salary account,2021-07-06,Silver
1929,1,Monthly issuance,NRI account,2021-07-06,Silver
4150,65,Monthly issuance,Salary account,2021-07-05,Silver
10774,46,Monthly issuance,Savings account,2021-07-05,Silver
185,32,Monthly issuance,Savings account,2021-07-04,Silver
7721,13,Monthly issuance,Salary account,2021-07-03,Silver
3889,16,Monthly issuance,Savings account,2021-07-03,Silver
3085,66,Monthly issuance,Savings account,2021-07-03,Silver
768,26,Monthly issuance,NRI account,2021-07-03,Silver
8919,62,Monthly issuance,NRI account,2021-07-03,Silver
3154,1,Monthly issuance,NRI account,2021-07-02,Silver
2081,36,Monthly issuance,NRI account,2021-07-02,Silver
1255,68,Monthly issuance,Salary account,2021-07-02,Silver
2208,7,Monthly issuance,Savings account,2021-07-02,Silver
1284,55,Monthly issuance,NRI account,2021-07-02,Silver
8153,9,Monthly issuance,Salary account,2021-07-02,Silver
1346,74,Monthly issuance,Salary account,2021-07-01,Silver
1514,7,Monthly issuance,Salary account,2021-07-01,Silver
5196,13,weekly issuance,Salary account,2021-06-29,Diamond
2883,77,Monthly issuance,Salary account,2021-06-29,Silver
2939,5,Monthly issuance,NRI account,2021-06-28,Silver
3665,28,Monthly issuance,Savings account,2021-06-28,Silver
3524,66,Monthly issuance,NRI account,2021-06-28,Silver
4156,42,Monthly issuance,Savings account,2021-06-27,Silver
1921,42,Monthly issuance,NRI account,2021-06-27,Silver
2200,1,Monthly issuance,Salary account,2021-06-26,Silver
3245,45,Monthly issuance,Salary account,2021-06-26,Silver
2806,53,Monthly issuance,Salary account,2021-06-26,Silver
556,12,Monthly issuance,NRI account,2021-06-26,Silver
4301,1,Monthly issuance,Savings account,2021-06-26,Silver
2443,46,Monthly issuance,Salary account,2021-06-25,Silver
4309,74,weekly issuance,NRI account,2021-06-25,Diamond
3075,71,Monthly issuance,Salary account,2021-06-25,Silver
3461,8,Monthly issuance,Salary account,2021-06-23,Silver
672,53,Monthly issuance,Salary account,2021-06-23,Silver
8645,60,Monthly issuance,Savings account,2021-06-23,Silver
438,37,Monthly issuance,Salary account,2021-06-23,Silver
3262,23,Monthly issuance,Savings account,2021-06-22,Silver
3100,65,Monthly issuance,Salary account,2021-06-22,Silver
1839,5,Monthly issuance,Salary account,2021-06-22,Silver
3996,1,Monthly issuance,Savings account,2021-06-22,Silver
622,24,Monthly issuance,Savings account,2021-06-22,Silver
2340,14,Monthly issuance,NRI account,2021-06-22,Silver
641,40,Monthly issuance,NRI account,2021-06-22,Silver
4858,67,Monthly issuance,NRI account,2021-06-21,Silver
1354,31,Monthly issuance,NRI account,2021-06-21,Silver
2057,1,Monthly issuance,Savings account,2021-06-20,Silver
2560,15,Monthly issuance,Savings account,2021-06-20,Silver
3986,19,Monthly issuance,NRI account,2021-06-20,Silver
3719,37,Monthly issuance,Savings account,2021-06-19,Silver
1551,72,Monthly issuance,Savings account,2021-06-18,Silver
1095,54,Monthly issuance,Savings account,2021-06-18,Silver
3703,74,Monthly issuance,Salary account,2021-06-18,Silver
